feature,coefficient_orig_model,coefficient_new_model
Cells_RadialDistribution_MeanFrac_CY5_3of4,-0.09392739740228276,-0.13807783265326692
Nuclei_RadialDistribution_ZernikePhase_RFP_6_6,0.022786402805727714,0.015979961394747184
Nuclei_RadialDistribution_ZernikePhase_DAPI_4_2,0.00018295084391248774,-0.025606660399744872
Cytoplasm_RadialDistribution_RadialCV_GFP_2of4,-0.01364318540404193,0.0017415290408795366
Cells_RadialDistribution_RadialCV_GFP_2of4,-0.01775933359167414,-0.031428727740872825
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_9_5,0.0253942242184443,0.04621897460187202
Cells_RadialDistribution_ZernikeMagnitude_GFP_7_1,-0.007615505384613834,-0.04509683318245898
Cells_Correlation_RWC_DAPI_RFP,0.11279382327766002,-0.35126226293156365
Cells_RadialDistribution_ZernikePhase_DAPI_1_1,-0.07046439707154475,-0.040767733257825595
Cytoplasm_Intensity_LowerQuartileIntensity_RFP,-0.28730074374939424,-0.17110220589460906
Nuclei_Correlation_RWC_GFP_CY5,-0.39254949525439614,-0.2375486666134486
Cytoplasm_Texture_InfoMeas1_GFP_3_02_256,-0.21227322080491837,0.08382989147012396
Cells_RadialDistribution_RadialCV_DAPI_3of4,0.08348220123852292,0.08544806969152725
Cells_RadialDistribution_ZernikeMagnitude_DAPI_9_9,0.047345561806083174,-0.061135651219258236
Cells_RadialDistribution_ZernikePhase_DAPI_8_2,0.0201974367250885,0.004318068590557773
Cytoplasm_Correlation_Correlation_GFP_RFP,0.014865963055329277,0.0
Nuclei_Intensity_MassDisplacement_DAPI,-0.030121582164141226,0.009293492473000799
Cells_RadialDistribution_RadialCV_RFP_1of4,0.03907422339504093,0.05205695826500294
Cytoplasm_RadialDistribution_RadialCV_CY5_3of4,-0.05132214799140832,-0.018142979498551717
Cells_Neighbors_FirstClosestDistance_Adjacent,0.006772695363207753,-0.04282604247583267
Nuclei_RadialDistribution_ZernikePhase_DAPI_1_1,-0.042517911280453256,-0.03379947293231683
Nuclei_RadialDistribution_ZernikePhase_CY5_1_1,0.015635159118635743,0.03910281566006088
Nuclei_Texture_Correlation_DAPI_3_02_256,-0.2934045381596185,-0.1910496490887372
Cells_Texture_InfoMeas1_CY5_3_02_256,0.18320013712693575,0.0
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_5_3,-0.15154338916140153,-0.16616942040353191
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_3_1,-0.0069846762721783515,0.01450209152048705
Nuclei_Granularity_1_RFP,-0.01515159810275842,0.05047765042745906
Nuclei_RadialDistribution_ZernikePhase_CY5_5_1,0.0033482105244059895,0.01646904452944461
Cytoplasm_RadialDistribution_ZernikePhase_GFP_8_4,-0.0011968936390244133,0.004096070058011643
Cells_Texture_InfoMeas2_RFP_3_03_256,-0.1646649108849238,-0.3031055455931937
Cells_RadialDistribution_MeanFrac_RFP_1of4,0.3887963116442385,0.11663006351298472
Nuclei_RadialDistribution_FracAtD_GFP_3of4,0.5714153184207876,0.2860748098495447
Nuclei_RadialDistribution_ZernikePhase_CY5_8_2,0.012985008116200382,-0.05703716471573093
Nuclei_Texture_DifferenceEntropy_RFP_3_03_256,0.008591252421495917,0.09043972581814601
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_6,-0.016943438732108067,0.012366794652069028
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_9_7,-0.033428456071124595,-0.04026304282111465
Cells_RadialDistribution_ZernikePhase_DAPI_3_3,-0.003956626094401,0.003102235318704693
Nuclei_RadialDistribution_ZernikePhase_GFP_9_9,-0.028095371410146657,0.013008492546944153
Nuclei_Intensity_MADIntensity_GFP,-0.6035881800794796,-0.7811102271550002
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_6_4,0.0003389141227386593,-0.02662435555786494
Cells_Texture_InfoMeas2_RFP_3_00_256,-0.20092491654319725,0.15348137353918928
Nuclei_AreaShape_Zernike_6_0,0.04169218437779553,0.05987467403739189
Cells_RadialDistribution_FracAtD_RFP_4of4,-0.38690757846090845,0.019337929989404975
Cells_RadialDistribution_ZernikeMagnitude_GFP_9_1,-0.09873681934514243,-0.0907622190908746
Cells_AreaShape_Zernike_1_1,-0.1861830941785199,-0.1312059172381247
Cells_RadialDistribution_ZernikeMagnitude_CY5_6_0,0.038881021177113485,0.09823448360110942
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_8_8,-0.16074080345020006,-0.2069135953280318
Cytoplasm_RadialDistribution_RadialCV_CY5_4of4,0.004911883433776941,-0.034671792935593554
Cells_AreaShape_Zernike_6_0,-0.08096009625681977,-0.03310365702481861
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_7_1,0.13950041794421658,0.08638346083291014
Cytoplasm_AreaShape_Zernike_5_1,-0.05098441050865186,0.03966642300783418
Cells_RadialDistribution_ZernikeMagnitude_GFP_9_3,-0.018420771873506457,0.0006793625334021667
Cytoplasm_Correlation_Overlap_DAPI_GFP,-0.09359357314278269,-0.14038848359269815
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_9_5,0.04488113689183669,0.0040933475289578495
Cells_RadialDistribution_ZernikePhase_CY5_7_3,0.05515286278250815,0.04943352494945042
Cells_AreaShape_Zernike_7_1,-0.00944377376396977,-0.017100962793618682
Nuclei_RadialDistribution_RadialCV_GFP_4of4,-0.02740660718377617,-0.0034568593142600664
Cells_Texture_Contrast_DAPI_3_02_256,0.7583513553274333,0.10511334989268019
